City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,usogorsk,63.4106,48.6872,-0.16,95,100,5.18,RU,1745434134
143,umm kaddadah,13.6017,26.6876,32.66,18,5,5.73,SD,1745434135
144,ponta delgada,37.7333,-25.6667,18.44,88,40,5.14,PT,1745434136
145,semporna,4.4818,118.6112,24.43,94,100,0.81,MY,1745434137
146,north battleford,52.7834,-108.2847,12.05,37,0,4.12,CA,1745433967
147,stanley,54.868,-1.6985,7.51,88,75,3.6,GB,1745434139
148,pointe michel,15.25,-61.3833,29.52,74,20,2.06,DM,1745434141
149,kiunga,-6.1219,141.2906,22.62,99,99,0.55,PG,1745434142
150,nemuro,43.3236,145.575,1.61,98,100,5.22,JP,1745433890
151,butia,-30.1197,-51.9622,27.28,45,0,1.27,BR,1745434144
152,hotan,37.0997,79.9269,17.14,35,100,2.39,CN,1745434145
153,vila franca do campo,37.7167,-25.4333,18.27,70,61,4.59,PT,1745434146
154,kachug,53.9606,105.8817,-3.71,59,95,1.04,RU,1745434148
155,tazovsky,67.4667,78.7,-16.94,98,69,4.68,RU,1745434149
156,kuressaare,58.2481,22.5039,8.3,97,100,1.54,EE,1745434150
157,iranshahr,27.2025,60.6848,31.19,11,0,4.12,IR,1745434151
158,aras-asan,8.8908,126.3033,24.38,84,100,1.43,PH,1745434152
159,bamyan,34.75,67.25,4.83,60,0,1.79,AF,1745434153
160,bikaner,28.0167,73.3,29.41,6,0,5.7,IN,1745434154
161,madona,56.8533,26.217,9.43,86,40,1.97,LV,1745434156
162,st. john's,47.5649,-52.7093,5.04,81,75,5.14,CA,1745433918
163,murun-kuren,49.6342,100.1625,2.67,54,41,1.7,MN,1745434158
164,afaahiti,-17.75,-149.2833,26.15,74,94,8.54,PF,1745434159
165,port-cartier,50.0334,-66.8654,1.07,100,100,3.3,CA,1745433708
166,karratha,-20.7377,116.8463,28.05,72,1,3.55,AU,1745434161
167,illizi,26.4833,8.4667,27.69,14,100,3.85,DZ,1745434162
168,luanda,-8.8368,13.2343,26.0,83,40,6.17,AO,1745434033
169,sungai penuh,-2.0833,101.3833,17.85,95,95,0.97,ID,1745434165
170,ulan bator,47.9077,106.8832,-10.93,57,0,1.0,MN,1745434166
